overall,verified,reviewTime,reviewerID,asin,reviewerName,reviewText,summary,unixReviewTime,vote,relevance_score,packing/outter appearance/shipping,health/ingredient,pricing/volume/quality,Cooking/how to use,Taste/texture,mentioned irrelavant info?
5,TRUE,"02 10, 2015",AAM0678XAGRPB,B0012BSDNW,Gunona,Lovely stuff.  Makes up quickly in a French press.  Mild lemon like taste.,Bedtime Treat!,1423526400,,3,,,,,1,
4,TRUE,"10 30, 2016",A1ATZJCFKHFP87,B004AQO72W,Amazon Customer,"Came in on expected date, the packaging was fantastic I can't complain. Kinda disappointed though that it didn't come in a bag like the picture shows, candy was slightly melted but that is my fault I wasn't able to get to my mailbox right after delivery, and the Texas heat got them. I put them in the fridge and they were the exact same texture as I had hoped for! Very creamy and decadent almost melt in your mouth. I can't wait to order more. Only downfall is it takes a while to ship.",the packaging was fantastic I can't complain,1477785600,13,4,1,,,1,1,
5,TRUE,"10 14, 2016",A234LZ1HYT8334,B0017TMTFM,John Stortz,Good Product.,Five Stars,1476403200,,1,,,,,,
4,TRUE,"07 21, 2016",A1FOU38KS8H7DI,B00J9TDSEI,tdactexas,"Tasty snack.  Deducted one star as while the product title is correct, the photo doesn't match it - these are the reduced fat version (in food service packaging).  So - not quite as tasty as the version in the photo.... but a little healthier, right?!  Still recommended.",Still recommended.,1469059200,,4,,,,,-1,
2,TRUE,"03 06, 2017",A1TNR8988JA282,B01BCKX2D8,funoutdoors,Coffee was weak and had a burnt flavor,Two Stars,1488758400,,3,,,,,-1,
5,TRUE,"09 26, 2016",A3VJ3QKU9JHSSE,B016CQ5T4M,Capt. Ross,"Decent heat and excellent flavor. I always keep some on hand. Great on eggs, tacos, you name it. Not a ""hot"" hot sauce, great for pouring on as a sauce.",Awesome sauce,1474848000,,3,,,,,1,
1,TRUE,"12 10, 2017",A24VW7CRV5B7XX,B00GDJPCZK,Amazon Customer,"Broken pieces beyond icing repair. Over priced, I found it at many different grocery stores for half the price and no broken pieces","Broken pieces beyond icing repair. Over priced,",1512864000,,3,,,-1,,,
4,TRUE,"09 21, 2017",A2IRHK6Q0MXP1T,B000AF0A78,Christine M. Downs,First time my tummy was tamed. Settled my stomach from IBS symptoms. Thank goodness.,Four Stars,1505952000,,3,,1,,,,
5,TRUE,"06 18, 2018",AW2JHO0YBEMWX,B0079OL6T4,pegisue,Great taste and no stomach upset! Love this. Great or my Keto diet.,Five Stars,1529280000,,3,,1,,,1,
2,TRUE,"02 19, 2018",A357T5B8CL5K9A,B00BH4S7W6,Amazon Customer,"I thought for the price it would be a much bigger box, I can buy that size in the grocery store for half the prize",I thought for the price it would be a much ...,1518998400,,3,,,1,,,
5,TRUE,"09 03, 2016",A3RI96TWM32T9J,B019EGM3EG,Rose,These are a tasty treat on-the-go!,Five Stars,1472860800,,3,,,,,1,
5,TRUE,"09 26, 2016",A33Q39NMX2GAOE,B000IKCPGE,Diane L Schaben,Exactly what one would expect.,Five Stars,1474848000,,1,,,,,,
5,TRUE,"02 09, 2016",A1UK9IYW3ZEP14,B003E6COMO,Yelm wa,Small individual packages with Itty bitty gummy bears!!!!,Five Stars,1454976000,,3,1,,,,,
3,TRUE,"04 21, 2014",A2NQAE1IHTQD7R,B000FA8SH2,Quill Amory,"These biscuits were clearly approaching the end of their natural life when they arrived at my house in sunny California. I hope I gave them the send-off they deserved; seeing out their remaining days next to a nice cup of tea.

The packaging was copious, but some of the biscuits didn't fare too well.  However, they were delicious. It baffles me why there's nothing remotely like these for sale in the US. Graham crackers just don't come close.",Stale. Bit cracked. Still awesome.,1398038400,,4,1,,,,1,
5,TRUE,"09 03, 2014",A1L8IXNZNSKXG5,B0015P54R8,Veronica,I have tried this for the first time and it is wonderful! I am always looking for ways to boost my immune system and have been using colostrum prior to Healthworks Maca powder. However after using Maca powder by adding it to my smoothies and sometimes as an additive to my baked goods I have noticed a significant difference in my overall health and well-being. I feel like I have more energy and just feel generally well. This product specifically beats any store sold product as far as price so I will definitely buy again !!!,Perfect for the immune,1409702400,3,4,,1,1,,,
5,TRUE,"06 26, 2018",A35KBRWIY7R0Z5,B00GZJMR9W,Josiah J Watchman,Love this coffee,Five Stars,1529971200,,1,,,,,,
5,TRUE,"03 23, 2017",ALBPVZNB8528N,B000EICISA,Hanne E. Bennett,very good,very tasty,1490227200,,1,,,,,,
5,TRUE,"07 10, 2011",A3DJREYRHKHUPQ,B000HQRKYQ,ABall,"I have ordered Rolands Giant Snails on three occasions
and find them to be superb and at a superb price.",Roland Escargots are excellent,1310256000,3,2,,,1,,,
4,TRUE,"10 31, 2016",ANYY59CY79O9N,B01BL0DC1Q,Jeff M.,"These are fine for what they are -- no carbs, good for my diet, but not tasty.  They come wet-packed and won't take on flavors if they get oil on them first.  I put them in a frying pan to dry out a little and then add whatever sauce I am using to absorb a little before serving.  They are filling and very low carb and calorie.  They aren't anywhere near as good as real pasta, but a decent substitute if your dietary issues suggest low carb/low cal.  The brand, within this class, is as good as it can be.",These are fine for what they are -- no carbs,1477872000,2,3,,1,,,,
5,TRUE,"02 15, 2016",A3OTOYHVCP6CAI,B00856TSCC,Star*Shopper,Use it everyday in my morning smoothies.,Five Stars,1455494400,,2,,,,1,,
5,TRUE,"07 27, 2016",A301K1E1LNSTGZ,B01DQCY1LC,J. L.,GREAT TO TAKE ALONG ON TRIPS.,Five Stars,1469577600,,2,,,,1,,
5,TRUE,"08 03, 2016",AUERWVLBZ10LE,B00F54QG1S,EBeth,"Excellent quality and price.  I think I've tried every pre-cooked bacon there is and most are either too fatty, too thin, or are all clumped together and fall apart when you try to take our 4 or 5 pieces.  For taste, definitely the best as well!",Best pre-cooked bacon value!,1470182400,,2,,1,1,,,
1,TRUE,"11 24, 2017",A346SVJLDZMQN,B00687ZUZY,Amazon Customer,I'm very upset. These leaked out of their bottles and I was stuck with a sticky mess that I now don't dare even use what left because I don't know how it's leaked with a seal on it.,I would never buy again!!!,1511481600,,3,1,,,,,
5,TRUE,"10 6, 2016",A2GASW8T99ZA1P,B00181Y1H8,AUTOBOB,This is an absolutly wonderful product!  It far and away exceeded my expectations!  I would highly recommend this product!!,Five Stars,1475712000,,1,,,,,,
5,TRUE,"01 21, 2016",A3DRZIOZJRMTVD,B00IYYBCH4,Nineng,"i am Asian, this is so yummy noodle..",Five Stars,1453334400,,2,,,,,1,
5,TRUE,"11 26, 2012",A15VTR2OV9MUB3,B001O8NNUG,Amazon Customer,"Exactly what I ordered.  Very high quality.  A bit on the expensive side, but you get what you pay for.",Very good product,1353888000,,2,,,1,,,
5,TRUE,"05 31, 2016",A25CJMEDKC6YTC,B01C60CUPY,Pedro Alves,"I'm falling in love for Muscle Feast! Haha
Great quality products and nice prices. Keep up with the good work",I'm falling in love for Muscle Feast,1464652800,,2,,,1,,,
5,TRUE,"10 7, 2013",A1ZSM6UPQ0F39G,B004TJF39Q,CW,Item is sugar free and a great tasting product.  Diabetics can drink all they want and not raise blood sugar.  I recommend this item for diabetics and people that are watching their weight.,Sugar Free Apple Spice drink,1381104000,,3,,1,,,,
5,TRUE,"04 24, 2018",A2CZ1EK6CLD5VH,B00B98BLXW,ShopGrl09,"Buy these for my bluebirds & squirrels, they love the peanuts",Great for my bluebirds & squirrels,1524528000,,2,,,,1,,
5,TRUE,"05 18, 2017",A9FDOKBQOJ20U,B00IJQ4XCI,Nancy S. Pierce,This makes a wonderful hot drink and is also a wonderful addition to smoothies.  I really love it.,I may be addicted!,1495065600,,2,,1,,,1,
2,TRUE,"09 23, 2015",A38IXNK9F3PB7B,B00XCN3NYW,Natasha,"I was so excited to see that these were back on the market.  I couldn't believe the shipping was so high but I ordered them anyway. I figured I would ration them to once a week. I counted the days.  Back in high school, black cherry was my favorite.  Shipping was fast, I received them  the first day of the delivery window.  Put one in the refrigerator so it would be nice and cold when I was ready for it.  Friday rolled around and I was so happy until I took my first sip.  GROSS!! Tastes like carbonated cough medicine.  I used to love this?  I forced 3/4 of the bottle down ( because my husband was not too happy I paid so much for 12 bottles of soda) I couldn't stomach the whole thing.  I don't know what I will do with the other 11 bottles.",So disappointed,1442966400,6,3,,,,,-1,
5,TRUE,"08 26, 2016",A32QN98HW3QA7A,B00KT6ZM30,Amazon Customer,It was great granddaughter was very happy,Five Stars,1472169600,,1,,,,,,
2,TRUE,"06 30, 2015",A38WR22ZBPO0YZ,B00962DOEC,Marie Kouassi,I thought it would be like a supplement meal but I found myself not drinking it every day as I had intended. The taste isn't bad. I just didn't gravitate to it like I had intended.,Not for me,1435622400,,2,,,,,1,
4,TRUE,"02 05, 2015",A2QLVEFJFQ13EK,B0001LQJZI,Pat Lindley,"OK, but nothing special.",Tastes like any other tea to me.,1423094400,,1,,,,,,
5,TRUE,"07 17, 2017",A35PO8K93E9VF8,B00GIS0QUW,Grace Bailey,Great on chicken wings,harissa,1500249600,,1,,,,,,
2,TRUE,"03 05, 2016",A273HL015651F0,B00CUQQON4,Megdel8,"The smell is great, but I didn't get any smoke flavor from this at all. I'm pretty disappointed.",Two Stars,1457136000,,2,,,,,-1,
4,TRUE,"02 01, 2018",A4Q0JYMRLCIIH,B00IZL255O,William McLaughlin,THE BEST SALT,Four Stars,1517443200,,1,,,,,,
5,TRUE,"01 18, 2015",A3MZMUGQMJ6DG0,B00N4YZ22A,Kindle Customer,The Darjeeling made winter afternoons warm and cozy.,Five Stars,1421539200,,1,,,,,,
5,TRUE,"10 26, 2012",A10QOESY9VJ9K,B00BEAZTGA,Gina,I love the assortment.  Different countries of origins.  It is fun to taste the differences.  So good.  My favorite is the Peruvian.,So many varieties!,1351209600,3,1,,,,,,
5,TRUE,"05 19, 2018",AQ1OC88F6PR17,B000OV4FX8,Alex R.,"No idea why regular coke AKA poison is still haunting stores... Coke zero tastes the same with no effect on your glycemic load, and will NOT kick you out of ketosis.",Makes regular Coke obsolete,1526688000,,3,,1,,,,
5,TRUE,"12 22, 2016",A3KJ3ODL5HR69R,B016ITZJ8Y,Diane Otis,Spices up my kitchen nicely ...,Spices up my kitchen nicely ...,1482364800,,2,,,,,1,
5,TRUE,"07 20, 2016",A1WCWXNNKT585U,B004AF8BYS,SusanJill,"They are the bit of sweet I need while watching my weight.  Love them!  p.s. though they are wonderful, if you overeat (for me that's more than 3 squares) the sugar alcohol mannitol in the chocolate bar causes tummy problems.  Knowing this, I eat 3 squares a day and am delighted to see the scales still going down. :)",They are the bit of sweet I need while watching my weight,1468972800,4,4,,-1,,,1,
5,TRUE,"03 03, 2018",A34UTJP94FPTKA,B00WBUX2UM,gem guy,Why buy an 8 ounce tin  in the Supermarket for $9.00 when you can get 2.2lbs. for around $18.00 and grind it yourself. We actually use it in our coffee machine as regular coffee and it comes out sweet and full bodied.,Super buy for the amount that it comes in,1520035200,,2,,,1,,,
5,TRUE,"01 04, 2014",A2NDZWJUAK0YZN,B001SB4HUE,Christina A. Roth,"I first had this soda at a Brazilian chuarrascaria restaurant and I loved it. Found out later that this drink is extremely popular in Brazil, where it's made. Similar to the prevalence of Coke in the U.S., Antartica is the same down in Brazil. It's hard to describe the taste to someone, as the picture of the guarana berries makes people think it tastes like cherries. The best way to describe it is as a cross between a lemon-lime soda and a citrus soda, like Sprite and Squirt mixed together. It's very light tasting, but very effervescent.

I bought this as a Christmas gift to give to my significant other. He raves about this soda. I'm very happy Amazon started carrying this stuff, as I cannot find it anywhere in the States. Please continue to provide this product. This soda is wonderful!!","Brazil's ""Coca-Cola""",1388793600,18,3,,,,,1,
5,TRUE,"09 11, 2017",A3EOYELZ7YLHHF,B00ACNIRAK,Anne Elise Avalos,My husband loves this coffee,Five Stars,1505088000,,1,,,,,,
5,TRUE,"04 03, 2015",A3N3KSB1UM7I9K,B007UOMOMG,Bill G. III,"We are hooked, this coffee is great and it comes at such an incredible price thru Amazon Prime, better than we can even get at BJ's with a coupon.","Great Taste, Best Deal per K-Cup Available on Vanilla",1428019200,,3,,,1,,,
5,TRUE,"10 20, 2017",A20NFKPRMD9SOF,B00CP0BNB8,N.C. Doss,I like it especially to make lots of muffins...really good...I like adding pecans and for an added treat..dried pineapple !,I like it especially to make lots of muffins,1508457600,,3,,,,1,,
5,TRUE,"10 9, 2017",A21T8UI8CVDOH3,B00474CAS0,quiltmaker,This is THE BEST blooming onion batter mix ever. It is VERY difficult to find in stores so very pleased to see it offered here.,Best Batter Mix you can buy,1507507200,,2,,,,,1,
5,TRUE,"03 02, 2014",A1R0XW72KNL8RN,B001GVIT6E,K. MIller,Have had a problem keeping up with my love of this coffee.  Commissary unreliable.  This system works better.  Is within a couple bucks of the same amount through the commissary so heck yes I will use them again,A Taste of Germany,1393718400,,3,,,1,,,
5,TRUE,"11 4, 2014",A21HWKU7PJ6NL5,B000X3TPHS,Tina Hynes,great lollipops....,Five Stars,1415059200,,1,,,,,,
5,TRUE,"03 13, 2016",AEJN31PRLA2TU,B00IUSKVXU,TauTau,Kids had fun but almost the same toys and stickers inside.,Five Stars,1457827200,,2,,,,,-1,
5,TRUE,"09 26, 2016",A1S0HH2DYH9T3F,B005LICTIC,Kaskins,"Was sent right away, very good!! Love them!",Yummy!,1474848000,,2,1,,,,,
